icmp,arp,enip,cip_req,cip_res,tcp_A,tcp_FPA,tcp_S,tcp_FA,tcp_R,tcp_SA,tcp_PA,tcp_NOT_TCP,Y
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,1,1,1,0,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,1,0,1,1,0,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,0,0,0,0,1
0,0,1,0,0,1,0,1,0,1,1,0,0,1
0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,0,0,0,0,0,1,1,1,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,2,0,0,1,0,1,0,0,0,0,0,1
0,0,3,0,0,2,0,1,3,2,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1,0,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,1,0,0,0,0,2,0,0,1
0,0,0,0,0,0,0,2,1,0,1,0,0,1
0,0,1,0,0,1,0,1,0,1,1,0,0,1
0,0,0,0,0,1,0,1,1,0,1,0,0,1
0,0,3,0,0,2,0,0,1,0,1,0,0,1
0,0,0,0,0,1,0,0,2,0,0,0,0,1
0,0,0,0,0,0,0,0,1,1,0,0,0,1
